N_unmapped	430677	430677	430677
N_multimapping	6730	6730	6730
N_noFeature	21027	36032	21253
N_ambiguous	5515	34	5463
HHV8GK18_gp01	1	0	3
HHV8_gs01	4	2	2
HHV8GK18_gp38	0	1	0
HHV8GK18_gp39	0	0	0
HHV8GK18_gp62	1	0	1
HHV8GK18_gp63	21	0	21
HHV8GK18_gp64	10	0	10
HHV8GK18_gp65	17	2	17
HHV8GK18_gp79	9139	44	9121
unassigned_gene_1	0	0	0
HHV8_gs02	55	0	55
HHV8_gs03	69	0	69
HHV8_gs04	55	0	55
HHV8_gs05	74	0	74
HHV8_gs06	73	0	73
HHV8_gs07	25	0	25
HHV8_gs08	12	0	12
HHV8_gs09	21	0	21
HHV8_gs10	10	0	10
unassigned_gene_2	158	172	2
