N_unmapped	846202	846202	846202
N_multimapping	27277	27277	27277
N_noFeature	62340	133984	62955
N_ambiguous	23071	180	22834
HHV8GK18_gp01	13	13	4
HHV8_gs01	13928	40	13896
HHV8GK18_gp38	16	7	12
HHV8GK18_gp39	0	0	0
HHV8GK18_gp62	53	3	51
HHV8GK18_gp63	222	4	221
HHV8GK18_gp64	124	1	123
HHV8GK18_gp65	65	5	60
HHV8GK18_gp79	33856	134	33841
unassigned_gene_1	0	0	0
HHV8_gs02	171	0	171
HHV8_gs03	104	2	102
HHV8_gs04	100	2	98
HHV8_gs05	92	0	92
HHV8_gs06	117	1	116
HHV8_gs07	58	0	58
HHV8_gs08	9	0	9
HHV8_gs09	42	0	42
HHV8_gs10	22	0	22
unassigned_gene_2	325	352	21
